"Subject","Start Date","All day event","Description","Show time as"
"CW ","05/03/2024",TRUE,"https://almanac.oremus.org/2024-03-05

Holy Communion
Song of the Three 2, 11-20 or 
Daniel 2.20-23
Psalm 25.3-10
Matthew 18.21-end

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Third Week of Lent, especially in Years B and C when the Gospel passage about the Samaritan woman is not read on the Third Sunday of Lent:
Exodus 17.1-7
Psalm 95.1-2, 6-end
John 4.5-42

Morning Prayer
Psalms 6, 9 (or) 87, 89.1-18
Genesis 47.28 - end of 48
Hebrews 5.11 - 6.12

Evening Prayer
Psalms 61, 62, 64 (or) 89.19-end
Jeremiah 11.18 - 12.6
John 7.53 - 8.11

Additional Weekday Lectionary
Exodus 15.22-27
Hebrews 10.32-end

",3
"CW ","06/03/2024",TRUE,"https://almanac.oremus.org/2024-03-06

Holy Communion
Deuteronomy 4.1, 5-9
Psalm 147.13-end
Matthew 5.17-19

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Third Week of Lent, especially in Years B and C when the Gospel passage about the Samaritan woman is not read on the Third Sunday of Lent:
Exodus 17.1-7
Psalm 95.1-2, 6-end
John 4.5-42

Morning Prayer
Psalm 38 (or) 119.105-128
Genesis 49.1-32
Hebrews 6.13-end

Evening Prayer
Psalms 36, 39 (or) 91, 93
Jeremiah 13.1-11
John 8.12-30

Additional Weekday Lectionary
Genesis 9.8-17
1 Peter 3.18-end

",3
"CW Perpetua, Felicity and Companions, 203","07/03/2024",TRUE,"Perpetua, Felicity and their Companions, Martyrs at Carthage, 203

https://almanac.oremus.org/2024-03-07

Exciting Holiness
Song of Songs 8.6, 7
Psalm 54.1-4, 6
Revelation 12.10-12a
Matthew 24.9-13

Holy Communion
Jeremiah 7.23-28
Psalm 95.1-2, 6-end
Luke 11.14-23

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Third Week of Lent, especially in Years B and C when the Gospel passage about the Samaritan woman is not read on the Third Sunday of Lent:
Exodus 17.1-7
Psalm 95.1-2, 6-end
John 4.5-42

Morning Prayer
Psalms 56, 57 (or) 90, 92
Genesis 49.33 - end of 50
Hebrews 7.1-10

Evening Prayer
Psalms 59, 60 (or) 94
Jeremiah 14
John 8.31-47

Additional Weekday Lectionary
Daniel 12.5-end
Mark 13.21-end

",3
"CW Edward King, 1910; Felix, 647; Geoffrey Studdert Kennedy, 1929","08/03/2024",TRUE,"Edward King, Bishop of Lincoln, 1910
Felix, Bishop, Apostle to the East Angles, 647
Geoffrey Studdert Kennedy, Priest, Poet, 1929

https://almanac.oremus.org/2024-03-08

Exciting Holiness
Ezekiel 34.11-16
Psalm 111.1-4, 9, 10
Hebrews 13.1-8
Matthew 5.10-12

Holy Communion
Hosea 14
Psalm 81.6-10, 13, 16
Mark 12.28-34

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Third Week of Lent, especially in Years B and C when the Gospel passage about the Samaritan woman is not read on the Third Sunday of Lent:
Exodus 17.1-7
Psalm 95.1-2, 6-end
John 4.5-42

Morning Prayer
Psalm 22 (or) 88, (95)
Exodus 1.1-14
Hebrews 7.11-end

Evening Prayer
Psalm 69 (or) 102
Jeremiah 15.10-end
John 8.48-end

Additional Weekday Lectionary
Numbers 20.1-13
1 Corinthians 10.23-end

",3
"CW ","09/03/2024",TRUE,"https://almanac.oremus.org/2024-03-09

Holy Communion
Hosea 5.15 - 6.6
Psalm 51.1-2, 17-end
Luke 18.9-14

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Third Week of Lent, especially in Years B and C when the Gospel passage about the Samaritan woman is not read on the Third Sunday of Lent:
Exodus 17.1-7
Psalm 95.1-2, 6-end
John 4.5-42

Morning Prayer
Psalm 31 (or) 96, 97, 100
Exodus 1.22 - 2.10
Hebrews 8

Evening Prayer
Psalms 116, 130 (or) 104
Jeremiah 16.10 - 17.4
John 9.1-17

Additional Weekday Lectionary
Isaiah 43.14-end
Hebrews 3.1-15

",3
"CW* Lent 4","10/03/2024",TRUE,"The Fourth Sunday of Lent

https://almanac.oremus.org/2024-03-10

Principal Service
Numbers 21.4-9
Psalm 107.1-3, 17-22*
Ephesians 2.1-10
John 3.14-21

Third Service
Psalm 27
1 Samuel 16.1-13
John 9.1-25

Second Service

If the Principal Service readings have been displaced by Mothering Sunday provisions, they may be used at the Second Service.
Psalms 13, 14
Exodus 6.2-13
Romans 5.1-11
Gospel at Holy Communion:
John 12.1-8

",3
"CW Mothering Sunday","10/03/2024",TRUE,"Mothering Sunday

Principal Service
Exodus 2.1-10 or 
1 Samuel 1.20-end
Psalm 34.11-20 or 
Psalm 127.1-4
2 Corinthians 1.3-7 or 
Colossians 3.12-17
Luke 2.33-35 or 
John 19.25-27

",3
"CW ","11/03/2024",TRUE,"https://almanac.oremus.org/2024-03-11

Holy Communion
Isaiah 65.17-21
Psalm 30.1-5, 8, 11-end
John 4.43-end

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fourth Week of Lent, especially in Years B and C when the Gospel passage about the man born blind is not read on the Fourth Sunday of Lent: 
Micah 7.7-9
Psalm 27.1, 9-10, 16-17
John 9

Morning Prayer
Psalms 70, 77 (or) 98, 99, 101
Exodus 2.11-22
Hebrews 9.1-14

Evening Prayer
Psalms 25, 28 (or) 105* (or 103)
Jeremiah 17.5-18
John 9.18-end

Additional Weekday Lectionary
2 Kings 24.18 - 25.7
1 Corinthians 15.20-34

",3
"CW ","12/03/2024",TRUE,"https://almanac.oremus.org/2024-03-12

Holy Communion
Ezekiel 47.1-9, 12
Psalm 46.1-8
John 5.1-3, 5-16

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fourth Week of Lent, especially in Years B and C when the Gospel passage about the man born blind is not read on the Fourth Sunday of Lent: 
Micah 7.7-9
Psalm 27.1, 9-10, 16-17
John 9

Morning Prayer
Psalms 54, 79 (or) 106* (or 103)
Exodus 2.23 - 3.20
Hebrews 9.15-end

Evening Prayer
Psalms 80, 82 (or) 107*
Jeremiah 18.1-12
John 10.1-10

Additional Weekday Lectionary
Jeremiah 13.12-19
Acts 13.26-35

",3
"CW ","13/03/2024",TRUE,"https://almanac.oremus.org/2024-03-13

Holy Communion
Isaiah 49.8-15
Psalm 145.8-18
John 5.17-30

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fourth Week of Lent, especially in Years B and C when the Gospel passage about the man born blind is not read on the Fourth Sunday of Lent: 
Micah 7.7-9
Psalm 27.1, 9-10, 16-17
John 9

Morning Prayer
Psalms 63, 90 (or) 110, 111, 112
Exodus 4.1-23
Hebrews 10.1-18

Evening Prayer
Psalms 52, 91 (or) 119.129-152
Jeremiah 18.13-end
John 10.11-21

Additional Weekday Lectionary
Jeremiah 13.20-27
1 Peter 1.17 - 2.3

",3
"CW ","14/03/2024",TRUE,"https://almanac.oremus.org/2024-03-14

Holy Communion
Exodus 32.7-14
Psalm 106.19-23
John 5.31-47

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fourth Week of Lent, especially in Years B and C when the Gospel passage about the man born blind is not read on the Fourth Sunday of Lent: 
Micah 7.7-9
Psalm 27.1, 9-10, 16-17
John 9

Morning Prayer
Psalms 53, 86 (or) 113, 115
Exodus 4.27 - 6.1
Hebrews 10.19-25

Evening Prayer
Psalm 94 (or) 114, 116, 117
Jeremiah 19.1-13
John 10.22-end

Additional Weekday Lectionary
Jeremiah 22.11-19
Luke 11.37-52

",3
"CW ","15/03/2024",TRUE,"https://almanac.oremus.org/2024-03-15

Holy Communion
Wisdom 2.1, 12-22 or 
Jeremiah 26.8-11
Psalm 34.15-end
John 7.1-2, 10, 25-30

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fourth Week of Lent, especially in Years B and C when the Gospel passage about the man born blind is not read on the Fourth Sunday of Lent: 
Micah 7.7-9
Psalm 27.1, 9-10, 16-17
John 9

Morning Prayer
Psalm 102 (or) 139
Exodus 6.2-13
Hebrews 10.26-end

Evening Prayer
Psalms 13, 16 (or) 130, 131, 137
Jeremiah 19.14 - 20.6
John 11.1-16

Additional Weekday Lectionary
Jeremiah 17.1-14
Luke 6.17-26

",3
"CW ","16/03/2024",TRUE,"https://almanac.oremus.org/2024-03-16

Holy Communion
Jeremiah 11.18-20
Psalm 7.1-2, 8-10
John 7.40-52

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fourth Week of Lent, especially in Years B and C when the Gospel passage about the man born blind is not read on the Fourth Sunday of Lent: 
Micah 7.7-9
Psalm 27.1, 9-10, 16-17
John 9

Morning Prayer
Psalm 32 (or) 120, 121, 122
Exodus 7.8-end
Hebrews 11.1-16

Evening Prayer
Psalms 140, 141, 142 (or) 118
Jeremiah 20.7-end
John 11.17-27

Additional Weekday Lectionary
Ezra 1
2 Corinthians 1.12-19

",3
"CW* Lent 5","17/03/2024",TRUE,"The Fifth Sunday of Lent

https://almanac.oremus.org/2024-03-17

Passiontide begins

Principal Service
Jeremiah 31.31-34
Psalm 51.1-13 or 
Psalm 119.9-16
Hebrews 5.5-10
John 12.20-33

Third Service
Psalm 107.1-22
Exodus 24.3-8
Hebrews 12.18-end

Second Service
Psalm 34*
Exodus 7.8-24
Romans 5.12-end
Gospel at Holy Communion:
Luke 22.1-13

",3
"CW Cyril of Jerusalem, 386","18/03/2024",TRUE,"Cyril, Bishop of Jerusalem, Teacher of the Faith, 386

https://almanac.oremus.org/2024-03-18

Holy Communion
Susannah 1-9, 15-17, 19-30, 33-62 [or41b-62] or
Joshua 2.1-14
Psalm 23
John 8.1-11

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fifth Week of Lent, especially in Years B and C when the Gospel passage about Lazarus is not read on the Fifth Sunday of Lent: 
2 Kings 4.18-21, 32-37
Psalm 17.1-8, 16
John 11.1-45

Morning Prayer
Psalms 73, 121 (or) 123, 124, 125, 126
Exodus 8.1-19
Hebrews 11.17-31

Evening Prayer
Psalms 26, 27 (or) 127, 128, 129
Jeremiah 21.1-10
John 11.28-44

(or) Evening Prayer on the Eve of Joseph of Nazareth
Psalm 132
Hosea 11.1-9
Luke 2.41-52

Additional Weekday Lectionary
Joel 2.12-17
2 John

",3
"CW* Joseph of Nazareth","19/03/2024",TRUE,"Joseph of Nazareth

https://almanac.oremus.org/2024-03-19

Principal Service
2 Samuel 7.4-16
Psalm 89.26-36
Romans 4.13-18
Matthew 1.18-25

Third Service
Isaiah 11.1-10
Matthew 13.54-end
Matthew 13.54-endMorning Psalms
Psalms 25, 147.1-12

Second Service
Genesis 50.22-end
Matthew 2.13-end
Evening Psalms
Psalms 1, 112

",3
"CW Cuthbert, 687","20/03/2024",TRUE,"Cuthbert, Bishop of Lindisfarne, Missionary, 687

https://almanac.oremus.org/2024-03-20

Exciting Holiness
Ezekiel 34.11-16
Psalm 23
2 Corinthians 6.1-10
Matthew 18.12-14

Holy Communion
Daniel 3.14-20, 24-25, 28
Canticle: Bless the Lord
John 8.31-42

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fifth Week of Lent, especially in Years B and C when the Gospel passage about Lazarus is not read on the Fifth Sunday of Lent: 
2 Kings 4.18-21, 32-37
Psalm 17.1-8, 16
John 11.1-45

Morning Prayer
Psalms 55, 124 (or) 119.153-end
Exodus 9.1-12
Hebrews 12.3-13

Evening Prayer
Psalms 56, 62 (or) 136
Jeremiah 22.20 - 23.8
John 12.1-11

Additional Weekday Lectionary
Job 36.1-12
John 14.1-14

",3
"CW Thomas Cranmer, 1556","21/03/2024",TRUE,"Thomas Cranmer, Archbishop of Canterbury, Reformation Martyr, 1556

https://almanac.oremus.org/2024-03-21

Exciting Holiness
Isaiah 43.1-3a
Psalm 119.169-176
2 Timothy 2.8-15
John 10.11-15

Holy Communion
Genesis 17.3-9
Psalm 105.4-9
John 8.51-end

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fifth Week of Lent, especially in Years B and C when the Gospel passage about Lazarus is not read on the Fifth Sunday of Lent: 
2 Kings 4.18-21, 32-37
Psalm 17.1-8, 16
John 11.1-45

Morning Prayer
Psalms 40, 125 (or) 143, 146
Exodus 9.13-end
Hebrews 12.14-end

Evening Prayer
Psalms 42, 43 (or) 138, 140, 141
Jeremiah 23.9-32
John 12.12-19

Additional Weekday Lectionary
Jeremiah 9.17-22
Luke 13.31-end

",3
"CW ","22/03/2024",TRUE,"https://almanac.oremus.org/2024-03-22

Holy Communion
Jeremiah 20.10-13
Psalm 18.1-6
John 10.31-end

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fifth Week of Lent, especially in Years B and C when the Gospel passage about Lazarus is not read on the Fifth Sunday of Lent: 
2 Kings 4.18-21, 32-37
Psalm 17.1-8, 16
John 11.1-45

Morning Prayer
Psalms 22, 126 (or) 142, 144
Exodus 10
Hebrews 13.1-16

Evening Prayer
Psalm 31 (or) 145
Jeremiah 24
John 12.20-36a

Additional Weekday Lectionary
Lamentations 5.1-3, 19-22
John 12.20-26

",3
"CW ","23/03/2024",TRUE,"https://almanac.oremus.org/2024-03-23

Holy Communion
Ezekiel 37.21-end
Canticle: Jeremiah 31.10-13 or 
Psalm 121
John 11.45-end

The following readings may replace those provided for Holy Communion on any day (except St Joseph's Day and the Annunciation) during the Fifth Week of Lent, especially in Years B and C when the Gospel passage about Lazarus is not read on the Fifth Sunday of Lent: 
2 Kings 4.18-21, 32-37
Psalm 17.1-8, 16
John 11.1-45

Morning Prayer
Psalms 23, 127 (or) 147
Exodus 11
Hebrews 13.17-end

Evening Prayer
Psalms 128, 129, 130 (or) 148, 149, 150
Jeremiah 25.1-14
John 12.36b-end

Additional Weekday Lectionary
Job 17.6-end
John 12.27-36

",3
"CW* Palm Sunday","24/03/2024",TRUE,"Palm Sunday

https://almanac.oremus.org/2024-03-24

Principal Service
<strong>Liturgy of the Palms:</strong>
Mark 11.1-11 or 
John 12.12-16
Psalm 118.1-2, 19-24*

<strong>Liturgy of the Passion:</strong>
Isaiah 50.4-9a
Psalm 31.9-16*
Philippians 2.5-11
Mark 14.1 - end of 15 or 
Mark 15.1-39 [40-end]

Third Service
Psalms 61, 62
Zechariah 9.9-12
1 Corinthians 2.1-12

Second Service
Psalm 69.1-20
Isaiah 5.1-7
Mark 12.1-12

",3
"CW Monday of Holy Week","25/03/2024",TRUE,"https://almanac.oremus.org/2024-03-25

Monday of Holy Week

Principal Service
Isaiah 42.1-9
Psalm 36.5-11
Hebrews 9.11-15
John 12.1-11

Morning
Psalm 41
Lamentations 1.1-12a
Luke 22.1-23

Evening
Psalm 25
Lamentations 2.8-19
Colossians 1.18-23

",3
"CW Tuesday of Holy Week","26/03/2024",TRUE,"https://almanac.oremus.org/2024-03-26

Tuesday of Holy Week

Principal Service
Isaiah 49.1-7
Psalm 71.1-14*
1 Corinthians 1.18-31
John 12.20-36

Morning
Psalm 27
Lamentations 3.1-18
Luke 22.24-53 (or 39-53)

Evening
Psalm 55.13-24
Lamentations 3.40-51
Galatians 6.11-end

",3
"CW Wednesday of Holy Week","27/03/2024",TRUE,"https://almanac.oremus.org/2024-03-27

Wednesday of Holy Week

Principal Service
Isaiah 50.4-9a
Psalm 70
Hebrews 12.1-3
John 13.21-32

Morning
Psalm 102*
Wisdom 1.16 - 2.1; 2.12-22 or 
Jeremiah 11.18-20
Luke 22.54-end

Evening
Psalm 88
Isaiah 63.1-9
Revelation 14.18 - 15.4

",3
"CW* Maundy Thursday","28/03/2024",TRUE,"Maundy Thursday

https://almanac.oremus.org/2024-03-28

Principal Holy Day

Principal Service
Exodus 12.1-4 [5-10] 11-14
Psalm 116.1, 10-end*
1 Corinthians 11.23-26
John 13.1-17, 31b-35

Morning
Psalms 42, 43
Leviticus 16.2-24
Luke 23.1-25

Evening
Psalm 39
Exodus 11
Ephesians 2.11-18

",3
"CW* Good Friday","29/03/2024",TRUE,"Good Friday

https://almanac.oremus.org/2024-03-29

Principal Holy Day

Principal Service
Isaiah 52.13 - 53.12
Psalm 22*
Hebrews 10.16-25 or 
Hebrews 4.14-16; 5.7-9
John 18.1 - 19.42

Morning
Psalm 69
Genesis 22.1-18
A part of John 18 and 19
if not used at the Principal Service
or Hebrews 10.1-10

Evening
Psalms 130, 143
Lamentations 5.15-end
A part of John 18 and 19
if not used at the Principal Service 
John 19.38-end or 
Colossians 1.18-23

",3
"CW Easter Eve","30/03/2024",TRUE,"https://almanac.oremus.org/2024-03-30

Easter Eve

These readings are for use at services other than the Easter Vigil.

Principal Service
Job 14.1-14 or 
Lamentations 3.1-9, 19-24
Psalm 31.1-4, 15, 16*
1 Peter 4.1-8
Matthew 27.57-end or 
John 19.38-end

Morning
Psalm 142
Hosea 6.1-6
John 2.18-22

Evening
Psalm 116
Job 19.21-27
1 John 5.5-12

",3
"CW Easter Vigil","30/03/2024",TRUE,"Easter Vigil

https://almanac.oremus.org/2024-03-30

A minimum of three Old Testament readings should be chosen. The reading from Exodus 14 should always be used.
Genesis 1.1 - 2.4a
Psalm 136.1-9, 23-end

Genesis 7.1-5, 11-18; 8.6-18; 9.8-13
Psalm 46

Genesis 22.1-18
Psalm 16

Exodus 14.10-end; 15.20, 21
Canticle: Exodus 15.1b-13, 17, 18

Isaiah 55.1-11
Canticle: Isaiah 12.2-end

Baruch 3.9-15, 32 - 4.4 or 
Proverbs 8.1-8, 19-21; 9.4b-6
Psalm 19

Ezekiel 36.24-28
Psalms 42, 43

Ezekiel 37.1-14
Psalm 143

Zephaniah 3.14-end
Psalm 98

Romans 6.3-11
Psalm 114
Mark 16.1-8

",3
"CW* Easter Day","31/03/2024",TRUE,"Easter Day

https://almanac.oremus.org/2024-03-31

Principal Feast

Principal Service
The reading from Acts must be used as either the first or second reading.
Acts 10.34-43 or 
Isaiah 25.6-9
Psalm 118.1-2, 14-24*
1 Corinthians 15.1-11 or 
Acts 10.34-43
John 20.1-18 or 
Mark 16.1-8

Third Service
Genesis 1.1-5, 26-end
2 Corinthians 5.14 - 6.2
Morning Psalms
Psalms 114, 117

Second Service
Ezekiel 37.1-14
Luke 24.13-35
Evening Psalms
Psalm 105 or 66.1-11

",3
"CW Monday of Easter Week","01/04/2024",TRUE,"https://almanac.oremus.org/2024-04-01

Holy Communion
Acts 2.14, 22-32
Psalm 16.1-2, 6-end
Matthew 28.8-15

Morning Prayer
Psalms 111, 117, 146
Exodus 12.1-14
1 Corinthians 15.1-11

Evening Prayer
Psalm 135
Song of Solomon 1.9 - 2.7
Mark 16.1-8

Additional Weekday Lectionary
Isaiah 54.1-14
Romans 1.1-7

",3
"CW Tuesday of Easter Week","02/04/2024",TRUE,"https://almanac.oremus.org/2024-04-02

Holy Communion
Acts 2.36-41
Psalm 33.4-5, 18-end
John 20.11-18

Morning Prayer
Psalms 112, 147.1-12
Exodus 12.14-36
1 Corinthians 15.12-19

Evening Prayer
Psalm 136
Song of Solomon 2.8-end
Luke 24.1-12

Additional Weekday Lectionary
Isaiah 51.1-11
John 5.19-29

",3
"CW Wednesday of Easter Week","03/04/2024",TRUE,"https://almanac.oremus.org/2024-04-03

Holy Communion
Acts 3.1-10
Psalm 105.1-9
Luke 24.13-35

Morning Prayer
Psalms 113, 147.13-end
Exodus 12.37-end
1 Corinthians 15.20-28

Evening Prayer
Psalm 105
Song of Solomon 3
Matthew 28.16-end

Additional Weekday Lectionary
Isaiah 26.1-19
John 20.1-10

",3
"CW Thursday of Easter Week","04/04/2024",TRUE,"https://almanac.oremus.org/2024-04-04

Holy Communion
Acts 3.11-26
Psalm 8
Luke 24.35-48

Morning Prayer
Psalms 114, 148
Exodus 13.1-16
1 Corinthians 15.29-34

Evening Prayer
Psalm 106
Song of Solomon 5.2 - 6.3
Luke 7.11-17

Additional Weekday Lectionary
Isaiah 43.14-21
Revelation 1.4-end

",3
"CW Friday of Easter Week","05/04/2024",TRUE,"https://almanac.oremus.org/2024-04-05

Holy Communion
Acts 4.1-12
Psalm 118.1-4, 22-26
John 21.1-14

Morning Prayer
Psalms 115, 149
Exodus 13.17 - 14.14
1 Corinthians 15.35-50

Evening Prayer
Psalm 107
Song of Solomon 7.10 - 8.4
Luke 8.41-end

Additional Weekday Lectionary
Isaiah 42.10-17
1 Thessalonians 5.1-11

",3
"CW Saturday of Easter Week","06/04/2024",TRUE,"https://almanac.oremus.org/2024-04-06

Holy Communion
Acts 4.13-21
Psalm 118.1-4, 14-21
Mark 16.9-15

Morning Prayer
Psalms 116, 150
Exodus 14.15-end
1 Corinthians 15.51-end

Evening Prayer
Psalm 145
Song of Solomon 8.5-7
John 11.17-44

Additional Weekday Lectionary
Job 14.1-14
John 21.1-14

",3
"CW* Easter 2","07/04/2024",TRUE,"The Second Sunday of Easter

https://almanac.oremus.org/2024-04-07

Principal Service
The reading from Acts must be used as either the first or second reading.
Acts 4.32-35
Psalm 133
1 John 1.1 - 2.2
John 20.19-31

For those who require an Old Testament reading on the Sundays of Easter:
Exodus 14.10-end; 15.20, 21
If an Old Testament reading is used, the reading from Acts must be used as the second reading.

Third Service
Psalm 22.20-31
Isaiah 53.6-12
Romans 4.13-25

Second Service
Psalm 143.1-11
Isaiah 26.1-9, 19
Luke 24.1-12

Evening Prayer on the Eve of the Annunciation
Psalm 85
Wisdom 9.1-12 or 
Genesis 3.8-15
Galatians 4.1-5

",3
"CW* The Annunciation","08/04/2024",TRUE,"The Annunciation of Our Lord to the Blessed Virgin Mary

https://almanac.oremus.org/2024-04-08

Principal Feast

Principal Service
Isaiah 7.10-14
Psalm 40.5-11
Hebrews 10.4-10
Luke 1.26-38

Third Service
1 Samuel 2.1-10
Romans 5.12-end
Morning Psalms
Psalms 111, 113

Second Service
Isaiah 52.1-12
Hebrews 2.5-end
Evening Psalms
Psalms 131, 146

",3
"CW Dietrich Bonhoeffer, 1945","09/04/2024",TRUE,"Dietrich Bonhoeffer, Lutheran Pastor, Martyr, 1945

https://almanac.oremus.org/2024-04-09

Holy Communion
Acts 4.32-end
Psalm 93
John 3.7-15

Morning Prayer
Psalms 8, 20, 21 (or) 5, 6, (8)
Exodus 15.22 - 16.10
Colossians 1.15-end

Evening Prayer
Psalm 104 (or) 9, 10*
Deuteronomy 1.19-40
John 20.11-18

Additional Weekday Lectionary
Proverbs 8.1-11
Acts 16.6-15

",3
"CW William Law, 1761; William of Ockham, 1347","10/04/2024",TRUE,"William Law, Priest, Spiritual Writer, 1761
William of Ockham, Friar, Philosopher, Teacher of the Faith, 1347

https://almanac.oremus.org/2024-04-10

Exciting Holiness
Tobit 1.16b-18a
Psalm 103.1-6
Romans 6.20-end
Luke 11.33-36

Holy Communion
Acts 5.17-26
Psalm 34.1-8
John 3.16-21

Morning Prayer
Psalms 16, 30 (or) 119.1-32
Exodus 16.11-end
Colossians 2.1-15

Evening Prayer
Psalm 33 (or) 11, 12, 13
Deuteronomy 3.18-end
John 20.19-end

Additional Weekday Lectionary
Hosea 5.15 - 6.6
1 Corinthians 15.1-11

",3
"CW George Augustus Selwyn, 1878","11/04/2024",TRUE,"George Augustus Selwyn, first Bishop of New Zealand, 1878

https://almanac.oremus.org/2024-04-11

Holy Communion
Acts 5.27-33
Psalm 34.1, 15-end
John 3.31 -end

Morning Prayer
Psalms 28, 29 (or) 14, 15, 16
Exodus 17
Colossians 2.16 - 3.11

Evening Prayer
Psalm 34 (or) 18*
Deuteronomy 4.1-14
John 21.1-14

Additional Weekday Lectionary
Jonah 2
Mark 4.35-end

",3
"CW ","12/04/2024",TRUE,"https://almanac.oremus.org/2024-04-12

Holy Communion
Acts 5.34-42
Psalm 27.1-5, 16-17
John 6.1-15

Morning Prayer
Psalms 57, 61 (or) 17, 19
Exodus 18.1-12
Colossians 3.12 - 4.1

Evening Prayer
Psalm 118 (or) 22
Deuteronomy 4.15-31
John 21.15-19

Additional Weekday Lectionary
Genesis 6.9-end
1 Peter 3.8-end

",3
"CW ","13/04/2024",TRUE,"https://almanac.oremus.org/2024-04-13

Holy Communion
Acts 6.1-7
Psalm 33.1-5, 18-19
John 6.16-21

Morning Prayer
Psalms 63, 84 (or) 20, 21, 23
Exodus 18.13-end
Colossians 4.2-end

Evening Prayer
Psalm 66 (or) 24, 25
Deuteronomy 4.32-40
John 21.20-end

Additional Weekday Lectionary
1 Samuel 2.1-8
Matthew 28.8-15

",3
"CW* Easter 3","14/04/2024",TRUE,"The Third Sunday of Easter

https://almanac.oremus.org/2024-04-14

Principal Service
The reading from Acts must be used as either the first or second reading.
Acts 3.12-19
Psalm 4
1 John 3.1-7
Luke 24.36b-48

For those who require an Old Testament reading on the Sundays of Easter:
Zephaniah 3.14-end
If an Old Testament reading is used, the reading from Acts must be used as the second reading.

Third Service
Psalm 77.11-20
Isaiah 63.7-15
1 Corinthians 10.1-13

Second Service
Psalm 142
Deuteronomy 7.7-13
Revelation 2.1-11
Gospel at Holy Communion:
Luke 16.19-end

",3
"CW ","15/04/2024",TRUE,"https://almanac.oremus.org/2024-04-15

Holy Communion
Acts 6.8-15
Psalm 119.17-24
John 6.22-29

Morning Prayer
Psalms 96, 97 (or) 27, 30
Exodus 19
Luke 1.1-25

Evening Prayer
Psalms 61, 65 (or) 26, 28, 29
Deuteronomy 5.1-22
Ephesians 1.1-14

Additional Weekday Lectionary
Exodus 24.1-11
Revelation 5

",3
"CW Isabella Gilmore, 1923","16/04/2024",TRUE,"Isabella Gilmore, Deaconess, 1923

https://almanac.oremus.org/2024-04-16

Holy Communion
Acts 7.51 - 8.1a
Psalm 31.1-5, 16
John 6.30-35

Morning Prayer
Psalms 98, 99, 100 (or) 32, 36
Exodus 20.1-21
Luke 1.26-38

Evening Prayer
Psalm 71 (or) 33
Deuteronomy 5.22-end
Ephesians 1.15-end

Additional Weekday Lectionary
Leviticus 19.9-18, 32-end
Matthew 5.38-end

",3
"CW ","17/04/2024",TRUE,"https://almanac.oremus.org/2024-04-17

Holy Communion
Acts 8.1b-8
Psalm 66.1-6
John 6.35-40

Morning Prayer
Psalm 105 (or) 34
Exodus 24
Luke 1.39-56

Evening Prayer
Psalms 67, 72 (or) 119.33-56
Deuteronomy 6
Ephesians 2.1-10

Additional Weekday Lectionary
Genesis 3.8-21
1 Corinthians 15.12-28

",3
"CW ","18/04/2024",TRUE,"https://almanac.oremus.org/2024-04-18

Holy Communion
Acts 8.26-end
Psalm 66.7-8, 14-end
John 6.44-51

Morning Prayer
Psalm 136 (or) 37*
Exodus 25.1-22
Luke 1.57-end

Evening Prayer
Psalm 73 (or) 39, 40
Deuteronomy 7.1-11
Ephesians 2.11-end

Additional Weekday Lectionary
Isaiah 33.13-22
Mark 6.47-end

",3
"CW Alphege, 1012","19/04/2024",TRUE,"Alphege, Archbishop of Canterbury, Martyr, 1012

https://almanac.oremus.org/2024-04-19

Exciting Holiness
Isaiah 43.1-7
Psalm 3.3-5, 8
Hebrews 5.1-4
Matthew 16.24-26

Holy Communion
Acts 9.1-20
Psalm 117
John 6.52-59

Morning Prayer
Psalm 107 (or) 31
Exodus 28.1-4a, 29-38
Luke 2.1-20

Evening Prayer
Psalm 77 (or) 35
Deuteronomy 7.12-end
Ephesians 3.1-13

Additional Weekday Lectionary
Nehemiah 9.6-17
Romans 5.12-end

",3
